mean,median,min,max,01,05,10,99,95,90
8636.660561001452,8635.73769145522,6912.767021605652,10403.165907085666,7335.3309756327935,7710.84149431435,7923.529450310907,9923.60983530269,9575.836011796542,9356.540495740832
8557.371883670985,8558.974419238504,6631.839801552354,10516.337452295718,7239.000999211818,7632.760659603614,7830.4151802234255,9811.036136468256,9460.842078127704,9255.840211205277
8596.20065856569,8595.251561798803,6457.030122653672,10514.445430921445,7251.828366300754,7650.728807934531,7905.5109892137,9951.538402820524,9535.799237604111,9325.760815793587
8521.884323589038,8514.673908881305,6625.086810010492,10077.376494394453,7249.43268560722,7583.660079308035,7805.6895869211185,9776.227108093934,9450.752165400241,9243.73880083902
8475.639932414764,8474.646841568772,6620.598438663293,10133.888203246097,7205.450196554701,7521.157472355554,7745.181030124356,9736.35958341761,9373.821496774352,9209.837172611926
8483.009719481253,8480.174450370398,6407.409235670543,10128.683797283982,7117.793585295248,7526.361859684219,7731.240274870134,9790.31474333415,9448.522465897453,9249.385237987372
8414.531971027116,8410.486595719387,6686.821683083706,10325.15558922846,7127.96736285936,7533.053103994917,7752.068114675233,9630.979861810845,9317.385611390404,9101.033162180156
8416.935988927697,8434.941494114853,6932.11397162839,9974.32876276122,7150.295007146902,7473.492486525183,7703.99099685612,9655.822089060945,9325.084799858732,9141.82562326029
8346.958787707259,8338.053430030692,6033.381495549229,10476.928162002781,6985.106972373623,7431.233582783542,7648.589977003654,9700.693031590132,9314.253724375314,9058.747532504281
8330.016324582284,8345.48082170141,6443.2177378273045,10417.647518527403,7033.049827839333,7359.811904886108,7622.223158894665,9610.458022659574,9262.00046714473,9013.837135191543
8308.482916664982,8309.681736865496,6421.85466133184,10046.760341928155,6979.189383715419,7408.408632118502,7603.671338411279,9623.830499469104,9240.007803130986,9019.560288972336
8300.735382117957,8304.3834667736,6575.780974751753,9892.597125773687,7004.719044665383,7371.589408164309,7596.049728288993,9586.890607499256,9214.851644851908,9016.249505684584
8262.212436343605,8254.902843424414,6491.85731801562,10580.871284880976,6968.237683935648,7350.531205759975,7537.097563492897,9640.365349967797,9223.650396328316,9021.309543178111
8231.19041988558,8223.132339679727,6421.007130549123,9974.712006133268,6955.705000607845,7281.964380756597,7507.332327895026,9563.128123986207,9191.65903538654,8968.816593220083
8215.255006149571,8219.745531212051,6452.975617868729,9794.311946238588,6962.046312425257,7353.185768529875,7539.257576941161,9356.69874557014,9096.60821693599,8915.639609972583
8169.357778522218,8182.52839202908,6626.556514860691,9979.520910264806,7028.4763450542605,7299.527030934813,7457.284334331337,9411.575079581678,9048.363506383344,8871.741735996293
8150.082470932705,8137.6131657616,6283.836606776466,9852.589246972611,6838.283120207877,7226.190919301705,7432.336835401202,9429.065571748984,9097.672913442666,8892.945368685025
8085.488592670229,8077.255276016014,6405.620435277738,10400.293196227323,6766.7231516032425,7166.574929606286,7378.340337124781,9363.265929328836,9046.878291052237,8818.53368219554
8096.237334249705,8103.008682686195,6204.325154790022,9806.768910772978,6733.096527548901,7120.528437438787,7351.959399597212,9439.075197436252,9009.934929260802,8821.118259769615
8059.011664658953,8068.537116772039,6271.643574671526,9685.313293458268,6701.373064304513,7123.051380203594,7282.574073412634,9239.432596171255,8981.369008037758,8794.351359248167
8062.21659425922,8050.869323844934,6305.042403046236,9902.324789241899,6659.0022440285065,7146.53996155811,7373.392777116426,9444.154508101088,8950.842111453061,8767.946397171168
8029.929326560291,8020.813857798794,5725.360741392988,9685.881768251744,6763.142808877832,7142.533926291551,7328.834916271433,9418.543735944395,8971.937038458758,8756.957902877404
7988.319337576239,7973.969682985751,6392.083951095175,9847.001913673528,6781.803001371455,7054.153893740281,7270.376962966323,9346.734731727727,8921.770441848925,8707.980162134081
7949.461078488987,7947.394035880936,6380.314096994368,9744.3914681773,6687.100748745037,7037.876224629704,7246.46104659133,9285.855352505607,8861.571978504968,8675.5771583886
7916.118631858345,7919.049786721816,6363.812395682416,9912.561375105477,6661.6426493337985,6977.920343759544,7185.027600576983,9250.847024840667,8836.124258155007,8631.7779529611
7927.663608490765,7899.375840626843,6110.192294068157,9551.875271597359,6592.506874447027,6991.703513340749,7222.450650688122,9254.467997676347,8915.325096017465,8678.161001068305
7852.082238886866,7833.630819064145,6228.032655542147,9837.761481724967,6652.413696569141,6987.6341783719945,7158.650016850909,9128.43722975723,8772.152145762351,8567.495007444344
7850.588550974929,7826.85827860655,6119.753512563525,9456.575276368725,6513.888264095857,6975.073927927221,7159.617946811621,9141.88654346297,8746.06716223958,8562.052108279744
7786.184722348427,7768.534584962451,6051.615239630708,9555.684014866374,6411.395258728878,6870.917886113142,7085.0930817189355,8962.970446226574,8718.71200906427,8517.666224688657
