mean,median,min,max,01,05,10,99,95,90
5422.65898004233,5419.287473385555,3277.3990615349594,7184.991810024715,3971.070024622251,4357.951045272497,4604.405843693196,6849.038307586246,6461.31154992156,6249.049691222379
5412.458246177256,5418.465449914489,3336.0482217483354,7325.935126162811,3896.5825928804948,4346.900107579181,4605.981772836425,6789.350439052576,6434.2258474359,6259.856139894804
5362.531735199483,5361.650724808636,3203.7357859067215,7057.062508515001,3872.686728961657,4270.24450293451,4544.153486548816,6794.985803689485,6418.680006914424,6239.034796615761
5280.250270190027,5274.345704544146,3699.395741984611,7256.760328881175,3822.4478287913007,4231.503977410161,4457.129220605811,6835.732867277008,6387.080563892316,6130.35695630258
5244.025874467156,5267.093709052257,3279.1536116491884,7430.7910790631395,3784.842701755202,4180.9011207998265,4429.668774261654,6750.580017450373,6346.650258812561,6074.903017468911
5262.476460969457,5269.790586772471,3579.588326443168,7734.256237682574,3839.74223031126,4233.884710079197,4441.257777806257,6685.9149179106635,6314.721507452457,6068.076149753652
5177.499507635862,5180.295649349198,3028.9528301540763,7524.721769940972,3691.403808175993,4119.490441588764,4325.855289153893,6703.915145714678,6275.254621756643,6039.633676770495
5152.459093607061,5159.729689208085,2965.292698855329,6828.934570518322,3771.696484115035,4121.458619567436,4341.243765942619,6522.448929716242,6228.8139321868575,5958.292966086441
5113.506616370635,5123.105108660844,3242.4539088917672,7380.345829572163,3615.267794090519,4065.0067089089553,4285.338196520297,6609.186037536005,6149.838804124914,5920.768536854316
5075.95179963085,5049.418783542074,2874.6364069876913,7264.47525068974,3611.668932096166,4044.00758928097,4249.092233205652,6576.545232877935,6187.099255664877,5931.874639307059
5046.139823608445,5048.0799762849,2742.529276672862,7251.981501243141,3406.152966875487,3956.303982727166,4216.861667777051,6546.622201420077,6159.149083479034,5864.529496146283
5051.785233012003,5070.822699908356,2797.469534953875,6880.804215109565,3559.728098880155,4005.5125929152077,4254.418807708275,6518.754419511372,6112.439622125189,5827.047110281081
4973.184171007242,5001.5939153299205,2731.1536879867645,6691.585285352527,3373.247560734897,3904.253247356398,4173.263846012108,6352.512181424702,5983.802609158745,5734.40336674304
4955.742784516882,4918.828083158849,2411.6677900654863,6910.134554907218,3392.4810242307917,3926.064442792969,4198.894139859691,6388.734673437642,5992.100348596661,5777.125215083343
4908.662576126895,4906.3767977221,2777.361496992639,6772.968444435785,3389.5901784267776,3804.6138300926323,4083.0714225033894,6373.983062222034,5943.48866492164,5715.3700723331185
4904.55256091804,4911.95088430889,2799.2896789414544,7019.185142185132,3378.4566182352182,3860.2732369486616,4073.4390959210255,6340.598450750533,5865.2524860352705,5683.616879190556
4806.25726983838,4840.501358534494,2532.452684040015,6823.317945138068,3393.7556855364787,3774.3967560039387,3974.2510979997714,6275.69376369715,5880.155660338238,5635.613894887198
4817.636935633619,4813.30514055471,2674.6159190268777,6778.410525843471,3201.205122475961,3713.9479877290964,3970.459310813246,6219.897149756016,5906.9385744342035,5661.008224476081
4785.58185657991,4782.216362846641,3032.989259308961,6821.928425174574,3359.5137709185433,3713.256275283634,3970.2356306840275,6349.8354816149285,5783.082982489676,5566.498198246053
4724.514923038857,4703.3788704179615,2040.4258021924416,6542.191811856333,3282.708302178746,3711.9949247970794,3960.7901783766793,6162.181535811959,5775.708941340027,5562.590756013779
4710.360096644968,4694.382285186632,2498.0256975459556,6913.200037884899,3153.8312583034094,3660.277615250106,3874.953884032835,6312.783150506684,5804.4448985483805,5574.716295758057
4640.03253517375,4666.091857362066,2514.4394160441684,6410.160188626071,3194.4373237966433,3529.4064953371767,3761.7725417768443,6189.332287523119,5676.71515508755,5484.181770808234
4628.570943527484,4676.443823535862,2733.1351061952328,6662.040962828462,3012.6648183324746,3500.9512396025575,3762.4986030990267,6088.311375137549,5697.789853883895,5455.540671362897
4612.732141243926,4630.95042788822,2341.419021334599,6590.8951952819425,3170.772367393126,3615.1796533645165,3823.6392617523093,6058.986178239365,5627.612635990527,5419.7676301794245
4583.0005270413785,4602.858208087426,2556.900269715651,6494.440642954245,3137.154613397492,3537.206764060605,3745.9749077838705,5964.192001112001,5597.182863133985,5385.547027398996
4559.571599877803,4567.5125782815085,2630.4002316119067,6700.563308783631,3026.3507232210545,3530.226272135558,3730.1190384865663,6067.7383214586125,5688.006530511313,5400.011828370162
4517.841841727076,4502.348961496991,2801.3914317023778,6639.962040756944,3164.261989691002,3496.9355875718766,3690.161010958708,6069.280055508045,5541.759985344778,5328.770558434587
4410.502912844865,4435.114500520225,2133.2222658885585,6348.290568548732,2825.612077926848,3308.9862884567897,3545.3402932741806,5876.4952318199585,5452.881655969418,5226.320895684267
4412.337564794495,4429.708358070984,2425.6165995142965,6334.657095561004,2940.6365431872664,3358.0587408576757,3567.2668075573742,5914.975821525732,5390.296699281561,5218.498874288716
4402.163505233667,4399.743866246114,2157.6903210135138,6484.121646465757,2885.4165695728984,3304.973003625424,3568.0811196629966,5744.503881146476,5427.152604328831,5246.80858712679
4327.044260545098,4343.146846749238,1687.3780538612837,6714.053777711137,2711.344282528219,3288.376923211053,3493.741482880267,5831.96928663688,5364.694952127402,5121.549837454512
4302.899753157369,4278.775013898028,2501.3077499445417,6207.165973666635,2897.1715107884256,3312.308304308703,3483.1689187013667,5802.745115776044,5414.4458209708855,5169.2519129660395
4320.576308208921,4332.5060453671385,2093.879834458486,6328.71646471209,2699.526204050057,3212.386389602118,3490.1056782408064,5898.357104885385,5341.95687048136,5129.447116446045
4272.330017142748,4243.491250197965,2263.6493034116775,6215.374761201492,2930.5897469920546,3247.730025857682,3460.7937966355266,5904.829409269543,5401.969762110509,5120.294030829582
4224.950775261227,4224.562695490278,1690.1426931022647,6106.5724054122875,2720.3726683109685,3158.166736194048,3402.405749110488,5666.613896119455,5201.892745592099,5000.107172457312
4227.50191288479,4234.779891811466,2117.375439592341,6848.536022245757,2733.3189007944616,3210.0146126860077,3390.532081742023,5695.070181893649,5278.335032179962,5086.830442120917
4131.7431253041295,4139.420131278668,2168.870828918658,6855.58973184779,2735.411363536381,3110.2451983009205,3321.121446293021,5513.3920962790235,5183.680590738782,4912.413147513014
4112.9589365852335,4094.5825089971477,2118.4437939813597,6264.5984363918005,2494.3390645643804,3044.4722300201024,3326.194959919783,5605.958599639385,5194.133903186461,4920.563770668328
4096.926465007774,4066.886237199379,2133.7248769952757,6021.7307589055445,2595.169653802916,3003.807809931098,3301.5622080600483,5509.411012861611,5179.667098098656,4921.559431825165
4057.8094256514746,4097.357406052237,1935.941892971602,5901.352850013208,2398.7195553000547,2912.2261086164576,3194.314000575147,5573.382534406598,5157.305019092497,4890.591285492252
4022.2126910623956,4029.1736056237805,1701.6922402846026,5995.289190237827,2503.787386746962,2979.437281939258,3212.2147294669066,5600.506663852437,5121.559981016038,4842.40674440773
